Company Name,Company Rating,Company Review,Sector,Salary,About Company,Links
The Saraswat Co-operative Bank,3.3,(422),Banking | Mumbai +32 other locations,2.3k,Banking | Mumbai +32 other locations,https://www.ambitionbox.com/overview/The Saraswat Co-operative Bank-overview
LEAP India Private Limited,4.4,(414),Packaging | Mumbai +39 other locations,1.1k,Packaging | Mumbai +39 other locations,https://www.ambitionbox.com/overview/LEAP India Private Limited-overview
Mahanagar Gas,4.2,(421),Oil & Gas | Mumbai +25 other locations,2.1k,Oil & Gas | Mumbai +25 other locations,https://www.ambitionbox.com/overview/Mahanagar Gas-overview
Spectrum Talent Management,3.6,(420),Recruitment | Noida +65 other locations,1.8k,Recruitment | Noida +65 other locations,https://www.ambitionbox.com/overview/Spectrum Talent Management-overview
BSCPL Infrastructure,3.8,(413),Engineering & Construction | Hyderabad / Secunderabad +45 other locations,1.3k,Engineering & Construction | Hyderabad / Secunderabad +45 other locations,https://www.ambitionbox.com/overview/BSCPL Infrastructure-overview
Dana India,4.0,(413),Auto Components | Pune +23 other locations,1.6k,Auto Components | Pune +23 other locations,https://www.ambitionbox.com/overview/Dana India-overview
Magus Customer Dialog,3.6,(413),BPO | Hyderabad / Secunderabad +17 other locations,891,BPO | Hyderabad / Secunderabad +17 other locations,https://www.ambitionbox.com/overview/Magus Customer Dialog-overview
Red Hat,4.3,(413),Software Product | Pune +13 other locations,3.2k,Software Product | Pune +13 other locations,https://www.ambitionbox.com/overview/Red Hat-overview
Kiya.ai,3.3,(415),Emerging Technologies | Mumbai +15 other locations,3.8k,Emerging Technologies | Mumbai +15 other locations,https://www.ambitionbox.com/overview/Kiya.ai-overview
Safari Industries India,4.0,(417),Fashion & Textile | Mumbai +67 other locations,1.6k,Fashion & Textile | Mumbai +67 other locations,https://www.ambitionbox.com/overview/Safari Industries India-overview
SunTec Web Services,3.1,(414),IT Services & Consulting | New Delhi +8 other locations,1.7k,IT Services & Consulting | New Delhi +8 other locations,https://www.ambitionbox.com/overview/SunTec Web Services-overview
ITI,3.7,(411),Hardware & Networking | Bangalore / Bengaluru +80 other locations,1.4k,Hardware & Networking | Bangalore / Bengaluru +80 other locations,https://www.ambitionbox.com/overview/ITI-overview
Nagarjuna Fertilizers and Chemicals,4.0,(410),Agro Chemicals | Kakinada +65 other locations,1.3k,Agro Chemicals | Kakinada +65 other locations,https://www.ambitionbox.com/overview/Nagarjuna Fertilizers and Chemicals-overview
Ambit Finvest,3.9,(415),NBFC | Mumbai +87 other locations,1.4k,NBFC | Mumbai +87 other locations,https://www.ambitionbox.com/overview/Ambit Finvest-overview
Welspun Enterprises,4.2,(416),Engineering & Construction | Mumbai +41 other locations,1.5k,Engineering & Construction | Mumbai +41 other locations,https://www.ambitionbox.com/overview/Welspun Enterprises-overview
Communications Test Design,3.7,(413),IT Services & Consulting | Bangalore / Bengaluru +44 other locations,1.6k,IT Services & Consulting | Bangalore / Bengaluru +44 other locations,https://www.ambitionbox.com/overview/Communications Test Design-overview
ABC Consultants,3.9,(411),Recruitment | Bangalore / Bengaluru +28 other locations,13.2k,Recruitment | Bangalore / Bengaluru +28 other locations,https://www.ambitionbox.com/overview/ABC Consultants-overview
K D Hospital,4.7,(408),Healthcare | Ahmedabad +6 other locations,337,Healthcare | Ahmedabad +6 other locations,https://www.ambitionbox.com/overview/K D Hospital-overview
H & R Johnson,3.6,(408),Building Material | Mumbai +71 other locations,1.2k,Building Material | Mumbai +71 other locations,https://www.ambitionbox.com/overview/H & R Johnson-overview
Portea Medical,3.8,(409),Healthcare | Bangalore / Bengaluru +42 other locations,1.3k,Healthcare | Bangalore / Bengaluru +42 other locations,https://www.ambitionbox.com/overview/Portea Medical-overview
Jumbotail Technologies,3.6,(409),Retail | Bangalore / Bengaluru +29 other locations,1.5k,Retail | Bangalore / Bengaluru +29 other locations,https://www.ambitionbox.com/overview/Jumbotail Technologies-overview
Recpdcl.ltd,4.0,(409),Facility Management Services | New Delhi +65 other locations,1k,Facility Management Services | New Delhi +65 other locations,https://www.ambitionbox.com/overview/Recpdcl.ltd-overview
Kothari Agritech,4.6,(410),Building Material | Solapur +124 other locations,641,Building Material | Solapur +124 other locations,https://www.ambitionbox.com/overview/Kothari Agritech-overview
Leighton Contractors,4.2,(414),Engineering & Construction | Mumbai +20 other locations,970,Engineering & Construction | Mumbai +20 other locations,https://www.ambitionbox.com/overview/Leighton Contractors-overview
Fynd,3.3,(411),Software Product | Mumbai +11 other locations,1.8k,Software Product | Mumbai +11 other locations,https://www.ambitionbox.com/overview/Fynd-overview
Reliance Infrastructure,4.1,(408),Engineering & Construction | Mumbai +59 other locations,1.9k,Engineering & Construction | Mumbai +59 other locations,https://www.ambitionbox.com/overview/Reliance Infrastructure-overview
2COMS,3.4,(411),Kolkata +47 other locations,1.2k,Kolkata +47 other locations,https://www.ambitionbox.com/overview/2COMS-overview
CLUBWISE DEVELOPMENT INDIA,3.8,(408),Nashik +138 other locations,54,Nashik +138 other locations,https://www.ambitionbox.com/overview/CLUBWISE DEVELOPMENT INDIA-overview
Hitachi Cash Management Services,3.5,(408),Other | Mumbai +83 other locations,1k,Other | Mumbai +83 other locations,https://www.ambitionbox.com/overview/Hitachi Cash Management Services-overview
Reliance Capital,3.7,(408),Financial Services | Mumbai +84 other locations,1.8k,Financial Services | Mumbai +84 other locations,https://www.ambitionbox.com/overview/Reliance Capital-overview
Bridgestone India Automotive Products,4.1,(408),Auto Components | Gurgaon / Gurugram +43 other locations,2.1k,Auto Components | Gurgaon / Gurugram +43 other locations,https://www.ambitionbox.com/overview/Bridgestone India Automotive Products-overview
SPAR Hypermarkets,4.0,(411),Retail | Bangalore / Bengaluru +29 other locations,1.3k,Retail | Bangalore / Bengaluru +29 other locations,https://www.ambitionbox.com/overview/SPAR Hypermarkets-overview
Thought Focus,3.5,(410),IT Services & Consulting | Bangalore / Bengaluru +9 other locations,3.1k,IT Services & Consulting | Bangalore / Bengaluru +9 other locations,https://www.ambitionbox.com/overview/Thought Focus-overview
Flamingo Pharmaceuticals,3.2,(409),Pharma | Mumbai +12 other locations,1.8k,Pharma | Mumbai +12 other locations,https://www.ambitionbox.com/overview/Flamingo Pharmaceuticals-overview
NKG Infrastructure,3.4,(413),Engineering & Construction | New Delhi +41 other locations,1.4k,Engineering & Construction | New Delhi +41 other locations,https://www.ambitionbox.com/overview/NKG Infrastructure-overview
Al Turki Enterprises,3.7,(409),Oil & Gas | Muscat +15 other locations,1k,Oil & Gas | Muscat +15 other locations,https://www.ambitionbox.com/overview/Al Turki Enterprises-overview
Reliance Capital,3.7,(408),Financial Services | Mumbai +84 other locations,1.8k,Financial Services | Mumbai +84 other locations,https://www.ambitionbox.com/overview/Reliance Capital-overview
Sheela Foam,4.1,(411),Furniture & Furnishing | Noida +83 other locations,1.3k,Furniture & Furnishing | Noida +83 other locations,https://www.ambitionbox.com/overview/Sheela Foam-overview
Kalyani Technoforge,3.7,(410),Auto Components | Pune +16 other locations,1.7k,Auto Components | Pune +16 other locations,https://www.ambitionbox.com/overview/Kalyani Technoforge-overview
CWT,3.7,(409),Travel & Tourism | New Delhi +13 other locations,1.6k,Travel & Tourism | New Delhi +13 other locations,https://www.ambitionbox.com/overview/CWT-overview
Ppap Automotive,3.9,(413),Auto Components | Noida +15 other locations,1.6k,Auto Components | Noida +15 other locations,https://www.ambitionbox.com/overview/Ppap Automotive-overview
Magma General Insurance Limited,3.8,(414),Insurance | Mumbai +81 other locations,1.9k,Insurance | Mumbai +81 other locations,https://www.ambitionbox.com/overview/Magma General Insurance Limited-overview
