iter	Passed	Remaining
608	8824	20154
609	8871	20216
610	8908	20252
611	8947	20292
612	8991	20344
613	9015	20349
614	9029	20334
615	9059	20355
616	9097	20391
617	9134	20427
618	9162	20441
619	9175	20423
620	9188	20404
621	9201	20385
622	9214	20367
623	9228	20349
624	9242	20334
625	9259	20324
626	9273	20307
627	9286	20288
628	9299	20269
629	9313	20252
630	9326	20234
631	9339	20215
632	9352	20198
633	9369	20187
634	9383	20171
635	9397	20153
636	9410	20135
637	9424	20119
638	9438	20102
639	9451	20083
640	9465	20067
641	9479	20051
642	9492	20033
643	9505	20014
644	9521	20001
645	9535	19985
646	9549	19968
647	9563	19952
648	9576	19935
649	9590	19917
650	9603	19899
651	9616	19881
652	9630	19865
653	9643	19846
654	9658	19834
655	9671	19815
656	9685	19798
657	9698	19780
658	9712	19764
659	9726	19747
660	9739	19729
661	9752	19711
662	9770	19702
663	9787	19692
664	9801	19676
665	9817	19665
666	9834	19653
667	9850	19641
668	9867	19630
669	9882	19616
670	9896	19601
671	9910	19584
672	9923	19567
673	9937	19550
674	9952	19535
675	9965	19518
676	9980	19504
677	9993	19486
678	10007	19470
679	10020	19452
680	10034	19435
681	10048	19418
682	10062	19402
683	10075	19384
684	10088	19367
685	10102	19350
686	10115	19333
687	10129	19316
688	10142	19299
689	10155	19281
690	10169	19264
691	10183	19248
692	10198	19234
693	10213	19219
694	10229	19208
695	10245	19196
696	10261	19183
697	10278	19172
698	10293	19158
699	10309	19146
700	10322	19128
701	10338	19116
702	10355	19104
703	10370	19091
704	10386	19077
705	10417	19094
706	10432	19079
707	10447	19065
708	10462	19051
709	10478	19038
710	10494	19025
711	10511	19015
712	10527	19001
713	10542	18988
714	10557	18974
715	10573	18961
716	10588	18947
717	10602	18931
718	10618	18918
719	10633	18904
720	10649	18890
721	10664	18876
722	10679	18862
723	10694	18848
724	10709	18834
725	10725	18821
726	10740	18807
727	10754	18791
728	10769	18776
729	10782	18759
730	10796	18742
731	10809	18725
732	10822	18707
733	10836	18690
734	10849	18673
735	10863	18656
736	10877	18640
737	10890	18623
738	10906	18610
739	10919	18593
740	10932	18575
741	10946	18558
742	10959	18541
743	10972	18523
744	10985	18506
745	11000	18491
746	11013	18474
747	11027	18457
748	11040	18440
749	11056	18427
750	11070	18411
751	11083	18394
752	11096	18376
753	11110	18359
754	11123	18342
755	11136	18325
756	11150	18308
757	11163	18291
758	11177	18275
759	11190	18257
760	11205	18243
761	11218	18226
762	11231	18209
763	11245	18192
764	11258	18176
765	11272	18159
766	11286	18143
767	11299	18125
768	11311	18107
769	11325	18090
770	11341	18078
771	11354	18061
772	11368	18045
773	11381	18028
774	11394	18011
775	11408	17994
776	11421	17977
777	11435	17961
778	11448	17943
779	11461	17926
780	11477	17914
781	11491	17898
782	11504	17881
783	11517	17864
784	11532	17849
785	11546	17833
786	11559	17816
787	11573	17800
788	11586	17783
789	11600	17767
790	11613	17750
791	11628	17735
792	11641	17719
793	11654	17701
794	11667	17684
795	11680	17667
796	11694	17651
797	11707	17634
798	11720	17617
799	11734	17601
800	11747	17585
801	11763	17572
802	11777	17555
803	11790	17539
804	11804	17522
805	11817	17506
806	11831	17490
807	11844	17473
808	11857	17456
809	11870	17439
810	11884	17423
811	11901	17411
812	11915	17396
813	11940	17397
814	11965	17397
815	11984	17388
816	11999	17374
817	12012	17358
818	12028	17345
819	12041	17328
820	12054	17311
821	12104	17346
822	12154	17381
823	12182	17387
824	12218	17401
825	12265	17433
826	12321	17476
827	12348	17478
828	12375	17480
829	12428	17519
830	12453	17519
831	12467	17502
832	12481	17485
833	12494	17468
834	12508	17451
835	12521	17433
836	12536	17418
837	12549	17401
838	12565	17388
839	12578	17370
840	12591	17353
841	12604	17335
842	12618	17318
843	12631	17301
844	12644	17283
845	12658	17267
846	12671	17250
847	12686	17234
848	12699	17216
849	12714	17201
850	12727	17184
851	12741	17168
852	12754	17150
853	12767	17133
854	12781	17117
855	12795	17099
856	12808	17082
857	12820	17064
858	12834	17048
859	12851	17035
860	12864	17017
861	12876	16999
862	12890	16982
863	12902	16964
864	12917	16949
865	12930	16931
866	12945	16917
867	12958	16900
868	12964	16872
869	12976	16855
870	12991	16839
871	13005	16823
872	13019	16807
873	13033	16791
874	13048	16776
875	13061	16759
876	13075	16743
877	13089	16726
878	13102	16710
879	13116	16693
880	13132	16679
881	13145	16662
882	13158	16645
883	13171	16628
884	13185	16612
885	13199	16595
886	13212	16578
887	13225	16561
888	13239	16545
889	13253	16529
890	13268	16515
891	13281	16498
892	13295	16481
893	13308	16464
894	13321	16447
895	13334	16430
896	13348	16413
897	13361	16396
898	13375	16380
899	13388	16363
900	13401	16346
901	13415	16330
902	13429	16314
903	13442	16297
904	13456	16281
905	13469	16264
906	13482	16247
907	13495	16230
908	13509	16213
909	13522	16196
910	13535	16179
911	13551	16167
912	13565	16150
913	13580	16135
914	13593	16118
915	13606	16101
916	13619	16085
917	13626	16061
918	13640	16044
919	13653	16028
920	13667	16012
921	13680	15995
922	13696	15982
923	13709	15965
924	13722	15948
925	13736	15932
926	13749	15915
927	13763	15898
928	13777	15882
929	13791	15867
930	13804	15851
931	13818	15834
932	13833	15820
933	13848	15805
934	13861	15788
935	13874	15772
936	13888	15755
937	13901	15739
938	13914	15722
939	13927	15705
940	13941	15689
941	13955	15673
942	13967	15656
943	13982	15641
944	13996	15625
945	14009	15608
946	14023	15592
947	14036	15576
948	14049	15559
949	14062	15542
950	14075	15525
951	14088	15509
952	14102	15493
953	14117	15479
954	14131	15463
955	14145	15447
956	14159	15432
957	14172	15415
958	14185	15398
959	14199	15382
960	14212	15365
961	14224	15348
962	14237	15331
963	14253	15318
964	14267	15301
965	14280	15285
966	14294	15269
967	14307	15253
968	14321	15237
969	14334	15221
970	14347	15204
971	14360	15188
972	14374	15171
973	14389	15157
974	14402	15141
975	14415	15124
976	14429	15108
977	14443	15092
978	14456	15076
979	14470	15060
980	14484	15045
981	14498	15029
982	14511	15013
983	14524	14996
984	14538	14981
985	14553	14966
986	14566	14949
987	14580	14934
988	14595	14919
989	14608	14903
990	14621	14887
991	14635	14871
992	14650	14857
993	14664	14841
994	14677	14825
995	14690	14808
996	14704	14793
997	14717	14776
998	14731	14761
999	14745	14745
1000	14758	14729
1001	14772	14713
1002	14787	14699
1003	14800	14682
1004	14814	14666
1005	14827	14650
1006	14840	14633
1007	14854	14618
1008	14866	14601
1009	14879	14585
1010	14892	14568
1011	14905	14552
1012	14918	14535
1013	14933	14520
1014	14946	14504
1015	14959	14488
1016	14972	14472
1017	14986	14456
1018	14999	14439
1019	15012	14424
1020	15026	14408
1021	15040	14392
1022	15053	14376
1023	15119	14410
1024	15149	14410
1025	15186	14417
1026	15208	14408
1027	15230	14400
1028	15243	14384
1029	15257	14368
1030	15270	14352
1031	15286	14338
1032	15299	14321
1033	15312	14305
1034	15326	14289
1035	15339	14273
1036	15351	14256
1037	15365	14240
1038	15378	14224
1039	15392	14208
1040	15405	14192
1041	15420	14177
1042	15433	14161
1043	15446	14144
1044	15460	14128
1045	15472	14111
1046	15486	14096
1047	15499	14080
1048	15512	14063
1049	15525	14046
1050	15538	14030
1051	15551	14014
1052	15567	14000
1053	15580	13984
1054	15594	13968
1055	15608	13953
1056	15622	13937
1057	15636	13922
1058	15650	13906
1059	15663	13889
1060	15676	13873
1061	15689	13857
1062	15705	13843
1063	15719	13828
1064	15733	13812
1065	15745	13796
1066	15758	13779
1067	15772	13763
1068	15786	13748
1069	15799	13732
1070	15813	13716
1071	15827	13701
1072	15840	13684
1073	15854	13669
1074	15868	13654
1075	15900	13654
1076	15928	13650
1077	15944	13637
1078	15959	13622
1079	15973	13607
1080	15986	13591
1081	16000	13574
1082	16013	13558
1083	16027	13543
1084	16040	13526
1085	16053	13510
1086	16066	13494
1087	16079	13478
1088	16096	13465
1089	16110	13450
1090	16124	13434
1091	16137	13418
1092	16150	13402
1093	16164	13386
1094	16177	13370
1095	16190	13354
1096	16204	13338
1097	16217	13322
1098	16233	13309
1099	16246	13292
1100	16260	13276
1101	16273	13260
1102	16286	13244
1103	16299	13228
1104	16313	13212
1105	16326	13196
1106	16339	13181
1107	16352	13164
1108	16366	13149
1109	16381	13134
1110	16395	13119
1111	16408	13102
1112	16422	13087
1113	16435	13071
1114	16448	13055
1115	16461	13039
1116	16475	13023
1117	16488	13007
1118	16501	12991
1119	16517	12978
1120	16531	12962
1121	16544	12946
1122	16557	12930
1123	16570	12914
1124	16583	12898
1125	16596	12882
1126	16610	12867
1127	16625	12852
1128	16638	12836
1129	16653	12822
1130	16667	12806
1131	16680	12790
1132	16694	12774
1133	16707	12759
1134	16720	12742
1135	16733	12727
1136	16746	12711
1137	16760	12695
1138	16773	12679
1139	16786	12663
1140	16802	12649
1141	16816	12634
1142	16829	12618
1143	16843	12602
1144	16856	12587
1145	16870	12571
1146	16883	12556
1147	16897	12540
1148	16911	12525
1149	16924	12509
1150	16940	12495
1151	16953	12479
1152	16967	12464
1153	16981	12449
1154	16994	12433
1155	17008	12417
1156	17022	12402
1157	17035	12386
1158	17049	12371
1159	17062	12355
1160	17075	12339
1161	17089	12324
1162	17103	12309
1163	17116	12293
1164	17130	12278
1165	17144	12262
1166	17158	12247
1167	17171	12231
1168	17184	12216
1169	17198	12200
1170	17211	12184
1171	17227	12170
1172	17240	12155
1173	17254	12139
1174	17267	12124
1175	17281	12108
1176	17294	12093
1177	17307	12077
1178	17321	12062
1179	17335	12046
1180	17348	12031
1181	17364	12017
1182	17377	12001
1183	17390	11985
1184	17403	11969
1185	17416	11953
1186	17430	11938
1187	17444	11923
1188	17457	11907
1189	17470	11891
1190	17484	11876
1191	17496	11860
1192	17514	11847
1193	17531	11834
1194	17544	11818
1195	17558	11803
1196	17571	11787
1197	17584	11772
1198	17598	11756
1199	17612	11741
1200	17625	11726
1201	17638	11710
1202	17653	11695
1203	17666	11680
1204	17681	11665
1205	17694	11649
1206	17707	11633
1207	17721	11618
1208	17734	11603
1209	17747	11587
1210	17762	11572
1211	17775	11556
1212	17787	11540
1213	17801	11525
1214	17814	11509
1215	17828	11494
1216	17841	11479
1217	17854	11463
1218	17868	11448
1219	17881	11432
1220	17894	11416
1221	17908	11401
1222	17921	11386
1223	17937	11371
1224	17950	11356
1225	17963	11340
1226	17977	11325
1227	17990	11309
1228	18003	11294
1229	18017	11279
1230	18031	11264
1231	18044	11248
1232	18057	11233
1233	18073	11219
1234	18087	11204
1235	18101	11188
1236	18114	11173
1237	18128	11157
1238	18141	11142
1239	18154	11127
1240	18168	11111
1241	18182	11097
1242	18196	11081
1243	18211	11067
1244	18224	11051
1245	18237	11036
1246	18251	11020
1247	18264	11005
1248	18278	10990
1249	18291	10974
1250	18304	10959
1251	18317	10943
1252	18331	10928
1253	18346	10914
1254	18360	10898
1255	18373	10883
1256	18385	10867
1257	18398	10852
1258	18412	10836
1259	18426	10821
1260	18439	10806
1261	18452	10790
1262	18466	10775
1263	18479	10760
1264	18493	10745
1265	18515	10734
1266	18543	10727
1267	18560	10714
1268	18574	10699
1269	18586	10683
1270	18601	10669
1271	18615	10653
1272	18628	10638
1273	18642	10623
1274	18656	10608
1275	18670	10593
1276	18683	10577
1277	18696	10562
1278	18709	10547
1279	18723	10531
1280	18735	10515
1281	18749	10500
1282	18763	10485
1283	18776	10470
1284	18790	10455
1285	18803	10440
1286	18816	10424
1287	18830	10409
1288	18843	10394
1289	18857	10378
1290	18870	10363
1291	18888	10350
1292	18901	10335
1293	18914	10319
1294	18927	10304
1295	18940	10288
1296	18954	10273
1297	18967	10258
1298	18981	10243
1299	18995	10228
1300	19008	10212
1301	19024	10198
1302	19037	10183
1303	19050	10168
1304	19064	10152
1305	19077	10137
1306	19091	10122
1307	19104	10107
1308	19118	10092
1309	19132	10077
1310	19138	10058
1311	19151	10042
1312	19165	10028
1313	19179	10013
1314	19194	9998
1315	19207	9983
1316	19220	9967
1317	19234	9952
1318	19248	9938
1319	19256	9920
1320	19270	9905
1321	19284	9890
1322	19299	9875
1323	19312	9860
1324	19325	9845
1325	19339	9830
1326	19353	9815
1327	19366	9799
1328	19379	9784
1329	19392	9769
1330	19405	9753
1331	19419	9739
1332	19439	9727
1333	19454	9712
1334	19470	9698
1335	19486	9684
1336	19501	9670
1337	19516	9656
1338	19530	9641
1339	19544	9626
1340	19558	9611
1341	19571	9596
1342	19584	9580
1343	19597	9565
1344	19610	9549
1345	19623	9534
1346	19636	9519
1347	19650	9504
1348	19663	9489
1349	19677	9474
1350	19690	9458
1351	19704	9443
1352	19717	9428
1353	19731	9413
1354	19744	9398
1355	19757	9383
1356	19770	9368
1357	19784	9353
1358	19798	9338
1359	19812	9323
1360	19831	9311
1361	19849	9297
1362	19865	9284
1363	19881	9270
1364	19896	9255
1365	19911	9241
1366	19927	9227
1367	19942	9213
1368	19956	9198
1369	19971	9184
1370	19986	9169
1371	20010	9159
1372	20026	9145
1373	20042	9131
1374	20057	9117
1375	20073	9103
1376	20090	9089
1377	20104	9074
1378	20120	9060
1379	20135	9046
1380	20151	9032
1381	20166	9017
1382	20181	9003
1383	20198	8990
1384	20214	8975
1385	20228	8961
1386	20244	8947
1387	20268	8936
1388	20284	8923
1389	20300	8908
1390	20315	8894
1391	20330	8879
1392	20345	8865
1393	20358	8850
1394	20372	8835
1395	20385	8820
1396	20399	8805
1397	20412	8790
1398	20426	8774
1399	20440	8760
1400	20454	8745
1401	20467	8729
1402	20479	8714
1403	20496	8700
1404	20509	8685
1405	20522	8670
1406	20536	8655
1407	20549	8640
1408	20563	8625
1409	20577	8610
1410	20592	8595
1411	20605	8580
1412	20617	8565
1413	20632	8550
1414	20646	8535
1415	20659	8520
1416	20672	8505
1417	20686	8490
1418	20700	8475
1419	20713	8460
1420	20726	8445
1421	20739	8429
1422	20753	8414
1423	20768	8400
1424	20781	8385
1425	20794	8370
1426	20808	8355
1427	20821	8340
1428	20835	8325
1429	20848	8310
1430	20861	8295
1431	20875	8280
1432	20889	8265
1433	20901	8249
1434	20916	8235
1435	20929	8220
1436	20942	8205
1437	20957	8190
1438	20971	8175
1439	20984	8160
1440	20997	8145
1441	21010	8130
1442	21023	8115
1443	21036	8099
1444	21052	8086
1445	21066	8070
1446	21080	8056
1447	21093	8041
1448	21106	8026
1449	21120	8011
1450	21133	7996
1451	21147	7981
1452	21162	7967
1453	21176	7952
1454	21191	7937
1455	21205	7923
1456	21219	7908
1457	21232	7893
1458	21247	7878
1459	21260	7863
1460	21273	7848
1461	21287	7833
1462	21303	7819
1463	21317	7804
1464	21330	7789
1465	21343	7774
1466	21357	7759
1467	21370	7744
1468	21383	7729
1469	21397	7714
1470	21410	7699
1471	21422	7684
1472	21435	7668
1473	21450	7654
1474	21463	7639
1475	21476	7624
1476	21489	7609
1477	21503	7594
1478	21516	7579
1479	21530	7564
1480	21543	7549
1481	21557	7534
1482	21573	7520
1483	21588	7506
1484	21601	7491
1485	21615	7476
1486	21628	7461
1487	21641	7446
1488	21654	7431
1489	21668	7416
1490	21681	7401
1491	21694	7386
1492	21708	7371
1493	21725	7358
1494	21738	7343
1495	21752	7328
1496	21765	7313
1497	21779	7298
1498	21792	7283
1499	21805	7268
1500	21819	7253
1501	21833	7238
1502	21846	7223
1503	21859	7208
1504	21873	7194
1505	21886	7179
1506	21891	7161
1507	21904	7146
1508	21917	7131
1509	21930	7116
1510	21944	7101
1511	21957	7086
1512	21971	7072
1513	21984	7057
1514	21997	7042
1515	22012	7027
1516	22025	7012
1517	22039	6997
1518	22052	6983
1519	22066	6968
1520	22079	6953
1521	22092	6938
1522	22107	6923
1523	22119	6908
1524	22133	6893
1525	22149	6879
1526	22162	6864
1527	22175	6850
1528	22188	6835
1529	22201	6820
1530	22215	6805
1531	22228	6790
1532	22242	6775
1533	22256	6761
1534	22270	6746
1535	22276	6729
1536	22298	6717
1537	22314	6703
1538	22331	6689
1539	22344	6674
1540	22358	6659
1541	22371	6644
1542	22385	6629
1543	22398	6615
1544	22412	6600
1545	22426	6585
1546	22440	6570
1547	22453	6556
1548	22467	6541
1549	22480	6526
1550	22494	6512
1551	22508	6497
1552	22521	6482
1553	22534	6467
1554	22547	6452
1555	22561	6437
1556	22578	6423
1557	22590	6408
1558	22603	6394
1559	22617	6379
1560	22630	6364
1561	22644	6349
1562	22657	6334
1563	22670	6319
1564	22683	6305
1565	22697	6290
1566	22713	6276
1567	22727	6261
1568	22741	6246
1569	22754	6232
1570	22768	6217
1571	22782	6202
1572	22796	6188
1573	22809	6173
1574	22822	6158
1575	22835	6143
1576	22848	6128
1577	22865	6114
1578	22878	6100
1579	22891	6085
1580	22905	6070
1581	22918	6055
1582	22932	6040
1583	22945	6026
1584	22958	6011
1585	22971	5996
1586	22984	5981
1587	22996	5966
1588	23012	5952
1589	23025	5937
1590	23038	5922
1591	23052	5907
1592	23065	5893
1593	23078	5878
1594	23091	5863
1595	23104	5848
1596	23118	5834
1597	23132	5819
1598	23148	5805
1599	23161	5790
1600	23174	5775
1601	23187	5760
1602	23200	5745
1603	23215	5731
1604	23229	5716
1605	23242	5702
1606	23256	5687
1607	23269	5672
1608	23282	5657
1609	23300	5644
1610	23313	5629
1611	23327	5614
1612	23340	5599
1613	23353	5585
1614	23367	5570
1615	23380	5555
1616	23393	5540
1617	23406	5526
1618	23419	5511
1619	23432	5496
1620	23448	5482
1621	23461	5467
1622	23475	5453
1623	23488	5438
1624	23502	5423
1625	23516	5409
1626	23529	5394
1627	23542	5379
1628	23555	5364
1629	23568	5349
1630	23583	5335
1631	23597	5320
1632	23611	5306
1633	23624	5291
1634	23637	5276
1635	23650	5262
1636	23664	5247
